
> quant-paper-trading-nodejs@0.2.0 start
> node src/index.js

[HTTP] server listening on http://localhost:3088
[EMAPI] page=21 rows=100 kept=42 total=947
[EMAPI] page=22 rows=100 kept=34 total=981
[EMAPI] page=23 rows=100 kept=35 total=1015
[EMAPI] page=24 rows=100 kept=34 total=1043
[EMAPI] page=25 rows=100 kept=37 total=1076
[SCAN] round=17 market=1076 picks=4 ts=2026-03-23T06:13:02.338Z
[EMAPI] page=1 rows=100 kept=46 total=46
[EMAPI] page=2 rows=100 kept=39 total=85
[EMAPI] page=3 rows=100 kept=46 total=129
[EMAPI] page=4 rows=100 kept=42 total=170
[EMAPI] page=5 rows=100 kept=47 total=216
[EMAPI] page=6 rows=100 kept=42 total=258
[EMAPI] page=7 rows=100 kept=43 total=301
[EMAPI] page=8 rows=100 kept=44 total=345
[EMAPI] page=9 rows=100 kept=51 total=395
[EMAPI] page=10 rows=100 kept=49 total=443
[EMAPI] page=11 rows=100 kept=44 total=487
[EMAPI] page=12 rows=100 kept=50 total=536
[EMAPI] page=13 rows=100 kept=49 total=583
[EMAPI] page=14 rows=100 kept=48 total=631
[EMAPI] page=15 rows=100 kept=51 total=682
[EMAPI] page=16 rows=100 kept=49 total=728
[EMAPI] page=17 rows=100 kept=55 total=782
[EMAPI] page=18 rows=100 kept=43 total=825
[EMAPI] page=19 rows=100 kept=40 total=864
[EMAPI] page=20 rows=100 kept=51 total=913
[EMAPI] page=21 rows=100 kept=40 total=949
[EMAPI] page=22 rows=100 kept=31 total=979
[EMAPI] page=23 rows=100 kept=30 total=1008
[EMAPI] page=24 rows=100 kept=37 total=1044
[EMAPI] page=25 rows=100 kept=45 total=1086
[SCAN] round=18 market=1086 picks=4 ts=2026-03-23T06:14:02.902Z
[EMAPI] page=1 rows=100 kept=46 total=46
[EMAPI] page=2 rows=100 kept=39 total=85
[EMAPI] page=3 rows=100 kept=42 total=127
[EMAPI] page=4 rows=100 kept=45 total=172
[EMAPI] page=5 rows=100 kept=46 total=218
[EMAPI] page=6 rows=100 kept=47 total=265
[EMAPI] page=7 rows=100 kept=40 total=305
[EMAPI] page=8 rows=100 kept=49 total=354
[EMAPI] page=9 rows=100 kept=45 total=397
[EMAPI] page=10 rows=100 kept=53 total=450
[EMAPI] page=11 rows=100 kept=41 total=491
[EMAPI] page=12 rows=100 kept=51 total=540
[EMAPI] page=13 rows=100 kept=50 total=585
[EMAPI] page=14 rows=100 kept=50 total=632
[EMAPI] page=15 rows=100 kept=48 total=679
[EMAPI] page=16 rows=100 kept=49 total=724
[EMAPI] page=17 rows=100 kept=50 total=771
[EMAPI] page=18 rows=100 kept=47 total=818
[EMAPI] page=19 rows=100 kept=46 total=858
[EMAPI] page=20 rows=100 kept=45 total=897
[EMAPI] page=21 rows=100 kept=32 total=929
[EMAPI] page=22 rows=100 kept=31 total=959
[EMAPI] page=23 rows=100 kept=32 total=991
[EMAPI] page=24 rows=100 kept=47 total=1033
[EMAPI] page=25 rows=100 kept=43 total=1076
[SCAN] round=19 market=1076 picks=4 ts=2026-03-23T06:15:03.884Z
[EMAPI] page=1 rows=100 kept=44 total=44
[EMAPI] page=2 rows=100 kept=39 total=83
[EMAPI] page=3 rows=100 kept=47 total=129
[EMAPI] page=4 rows=100 kept=42 total=171
[EMAPI] page=5 rows=100 kept=44 total=215
[EMAPI] page=6 rows=100 kept=47 total=261
[EMAPI] page=7 rows=100 kept=46 total=306
[EMAPI] page=8 rows=100 kept=41 total=345
[EMAPI] page=9 rows=100 kept=46 total=389
[EMAPI] page=10 rows=100 kept=46 total=429
[EMAPI] page=11 rows=100 kept=51 total=479
[EMAPI] page=12 rows=100 kept=45 total=522
[EMAPI] page=13 rows=100 kept=54 total=576
[EMAPI] page=14 rows=100 kept=49 total=620
[EMAPI] page=15 rows=100 kept=54 total=673
[EMAPI] page=16 rows=100 kept=48 total=719
[EMAPI] page=17 rows=100 kept=52 total=768
[EMAPI] page=18 rows=100 kept=49 total=815
[EMAPI] page=19 rows=100 kept=49 total=863
[EMAPI] page=20 rows=100 kept=31 total=890
[EMAPI] page=21 rows=100 kept=41 total=927
[EMAPI] page=22 rows=100 kept=40 total=965
[EMAPI] page=23 rows=100 kept=39 total=1002
[EMAPI] page=24 rows=100 kept=43 total=1043
[EMAPI] page=25 rows=100 kept=16 total=1059
[SCAN] round=20 market=1059 picks=4 ts=2026-03-23T06:16:03.182Z
[EMAPI] page=1 rows=100 kept=45 total=45
[EMAPI] page=2 rows=100 kept=38 total=83
[EMAPI] page=3 rows=100 kept=49 total=132
[EMAPI] page=4 rows=100 kept=39 total=171
[EMAPI] page=5 rows=100 kept=49 total=220
[EMAPI] page=6 rows=100 kept=43 total=263
[EMAPI] page=7 rows=100 kept=45 total=307
[EMAPI] page=8 rows=100 kept=44 total=350
[EMAPI] page=9 rows=100 kept=51 total=399
[EMAPI] page=10 rows=100 kept=51 total=447
[EMAPI] page=11 rows=100 kept=52 total=496
[EMAPI] page=12 rows=100 kept=47 total=542
[EMAPI] page=13 rows=100 kept=48 total=589
[EMAPI] page=14 rows=100 kept=46 total=635
[EMAPI] page=15 rows=100 kept=50 total=681
[EMAPI] page=16 rows=100 kept=56 total=735
